KABUPATEN / KOTA,DESTINASI WISATA,JUMLAH WISATAWAN LEBARAN 2023,KETERANGAN
KUTAI KERTANEGARA,Pantai Panrita Lopi,"55,045",
KUTAI KERTANEGARA,Pantai Tanah Merah,"7,069",
KUTAI KERTANEGARA,Pantai Ambalat,"5,713",
KUTAI KERTANEGARA,LADAYA,"5,374",
KUTAI KERTANEGARA,Pulau Kumala,"4,413",
KUTAI KERTANEGARA,Museum Mulawarman,"3,114",
KUTAI KERTANEGARA,Pantai Malabar ,"2,266",
KUTAI KERTANEGARA,Makam Raja Kutai ke VI,"2,232",
KUTAI KERTANEGARA,Taman Gubang,"1,314",
KUTAI KERTANEGARA,Museum Kayu,225,
KUTAI KERTANEGARA,Kembang Jaong,225,
KUTAI KERTANEGARA,Waduk Panji Sukarame,164,
BALIKPAPAN,PANTI MANGGAR SEGARA SARI,"11,429",
BALIKPAPAN,PANTAI LAMARU,"6,085",
BALIKPAPAN,PENANGKARAN BUAYA TERITIP,"1,019",
BALIKPAPAN,CARIBEAN WATERPARK,340,
BALIKPAPAN,KEBUN RAYA BALIKPAPAN,158,
SAMARINDA,Jessica Waterpark ,4479,
SAMARINDA,Mesjid shiratal Mustaqim ,5896,
SAMARINDA,Mahakm lampion garden ,4509,
SAMARINDA,PEMANDIAN SERAYU,1342,
SAMARINDA,Nauren mini garden ,425,
SAMARINDA,Taman salma sofa ,850,
SAMARINDA,Budhist center ,125,
SAMARINDA,KAPAL WISATA  PESUT ETAM,724,
KUTAI BARAT,BUMI PERKEMAHAN BATUQ BURA,"6,023",
KUTAI BARAT,AIR TERJUN MAPAN,973,
KUTAI BARAT,HEMAQ BENIUNG,485,
KUTAI BARAT,AIR TERJUN TABALAS,440,
KUTAI BARAT,DANAU BELUQ,179,
KUTAI BARAT,DANAU ACO,173,
KUTAI BARAT,WADUK SEMBIANG MOLLO,116,
KUTAI BARAT,KERSIK KERBANGAN,22,
KUTAI BARAT,AIR TERJUN MANARUNG,16,
KUTAI BARAT,PANCURAN SENGKREAQ,6,
KUTAI BARAT,SENTRA KERAJINAN TANJUNG ISUY,2,
PASER,PANTAI PASIR MAYANG,"6,500",
PASER,MUSEUM SADURENGAS,"1,750",
PASER,DOYAM TURU LIANG BATUTULIS LEMPESU,"1,418",
PASER,KEMILAU LAUT PODONG,750,
PASER,GUNUNG EMBUN,201,
PASER,"GOA LOSAN, BATU KAJANG",70,
PASER,LIANG MANGKULANGIT,19,
PASER,"DQNUM LAYONG , LONGKALI",6,
PENAJAM PASER UTARA, Salo Loang + Pejala (Tanjung Jumlai) ,"28,000",
PENAJAM PASER UTARA, Pantai Istana Amal ,"10,951",
PENAJAM PASER UTARA, Tanjung Tengah + Pantai Corong ,"9,600",
PENAJAM PASER UTARA, Pantai Nipah-Nipah ,"9,050",
PENAJAM PASER UTARA, D'Wish Gunung Mulia ,"1,776",
PENAJAM PASER UTARA, Ekowisata Kampung Baru ,550,
BONTANG,BERAS BASAH,"2,000",
BERAU,Tulung Ni Lenggo,"7,200",
BERAU,Derawan,"4,325",
BERAU,Kaniungan ,"3,000",
BERAU,Taman Sungai Dumaring ,"3,401",
BERAU,Maratua,"2,050",
BERAU,Mangrove Semanting ,"1,052",
BERAU,Water Boom Rinjani Makmur,803,
BERAU,Tapal Kuda,500,
BERAU,Goa Halo Tabung ,384,
BERAU,Keraton Sambaliung,101,
BERAU,Museum Batiwakkal ,36,
MAHULU,nihil,0, BELUM ADA DATA MASUK 
KUTIM,nihil,0, BELUM ADA DATA MASUK 
