Komoditas,26-May-23,27-May-23,28-May-23,29-May-23,30-May-23,31-May-23,kabupaten/kota
Beras Medium,Rp 11.550,-,-,Rp 11.625,Rp 11.625,Rp 12.250,samarinda
Beras Premium,Rp 13.313,-,-,Rp 13.313,Rp 13.313,Rp 14.125,samarinda
Beras Termurah,Rp 9.400,-,-,Rp 9.400,Rp 9.400,Rp 9.800,samarinda
Garam Halus,Rp 5.500,-,-,Rp 5.500,Rp 5.500,Rp 3.000,samarinda
Gula Pasir Curah,Rp 15.250,-,-,Rp 15.750,Rp 15.750,Rp 15.500,samarinda
Kedelai Impor,Rp 17.000,-,-,Rp 17.000,Rp 17.000,-,samarinda
Minyak Goreng Curah,Rp 13.000,-,-,Rp 13.000,Rp 13.000,Rp 12.000,samarinda
Minyak Goreng Kemasan Sederhana,Rp 15.000,-,-,Rp 15.000,Rp 15.000,Rp 0,samarinda
Telur Ayam Ras,Rp 30.000,-,-,Rp 30.000,Rp 30.000,-,samarinda
Tepung Terigu Protein Sedang,Rp 13.000,-,-,Rp 13.000,Rp 13.000,-,samarinda
Minyak Goreng Kemasan,Rp 19.500,-,-,Rp 19.500,Rp 19.500,Rp 18.000,samarinda
Kacang Hijau,Rp 27.500,-,-,Rp 27.500,Rp 27.500,Rp 27.000,samarinda
Kacang Tanah,Rp 30.000,-,-,Rp 30.000,Rp 30.000,Rp 3.000,samarinda
Kedelai Lokal,Rp 0,-,-,Rp 0,Rp 0,-,samarinda
Susu Kental Manis,Rp 12.000,-,-,Rp 12.000,Rp 12.000,-,samarinda
Telur Ayam Kampung,Rp 50.000,-,-,Rp 50.000,Rp 50.000,-,samarinda
Tepung Terigu Protein Rendah,Rp 12.000,-,-,Rp 12.000,Rp 12.000,-,samarinda
Tepung Terigu Protein Tinggi,Rp 15.000,-,-,Rp 15.000,Rp 15.000,-,samarinda
Mie Instan,Rp 3.000,-,-,Rp 3.000,Rp 3.000,-,samarinda
Susu Bubuk,Rp 0,-,-,Rp 0,Rp 0,-,samarinda
Bawang Merah,Rp 40.000,-,-,Rp 40.000,Rp 40.000,-,samarinda
Bawang Putih,Rp 40.000,-,-,Rp 40.000,Rp 40.000,-,samarinda
Daging Ayam Kampung,-,-,-,Rp 0,Rp 0,-,samarinda
Daging Ayam Ras,-,-,-,Rp 32.000,Rp 32.000,-,samarinda
Daging Sapi Segar Lokal,Rp 155.000,-,-,Rp 155.000,Rp 155.000,-,samarinda
Daging Sapi Impor Beku,Rp 125.000,-,-,Rp 125.000,Rp 125.000,-,samarinda
Garam Bata,Rp 0,-,-,Rp 0,Rp 0,Rp 0,samarinda
Ikan Segar,-,-,-,-,-,-,samarinda
Ikan Diawetkan,-,-,-,-,-,-,samarinda
